epoch,train_loss,validation_loss,train_pixel_accuracy,validation_pixel_accuracy,train_IoU,validation_IoU,train_dice_score,validation_dice_score
1,0.3335556313843431,0.3095175958815075,0.7329752124148672,0.759495244954518,0.32487989323180516,0.4155195641027584,0.5299774585368019,0.6652159609112691
2,0.2930710183116859,0.291140117531731,0.7519145309610569,0.7594082227248262,0.3827179626128383,0.39142321438636163,0.6426627346412561,0.6425075670511182
3,0.28361238793046295,0.2799271441641308,0.7616976544898524,0.765123658140148,0.3730958343868008,0.4170585583568663,0.6304978879043176,0.6721985471345986
4,0.4851569048388449,0.5201759014810835,0.3859699603890316,0.323522696162985,0.4282324893410911,0.4323676430569335,0.6507774417385772,0.6420230378735462
5,0.27923401443657275,0.2740115517661685,0.763847460762781,0.7828700546188304,0.3937174272869823,0.39474016444139104,0.6619009774030576,0.645958465734503
6,0.2724771325239438,0.27088255598431543,0.7731145048074334,0.7888265399781355,0.3907404983479659,0.4048562433057181,0.6557145005094336,0.6566553254222819
7,0.2684851000925343,0.26507243258612495,0.7787575683229956,0.7879814428471511,0.4081304364909323,0.4481620659065046,0.6811867494640163,0.7097156444967816
8,0.2619012902399342,0.2525393877710615,0.7820131821292178,0.7969623012715754,0.4170982745648645,0.45597416902486587,0.6928752131970365,0.7245986017373061
9,0.2587262755166553,0.25466219016483854,0.7896738212936031,0.8088295853471636,0.42303422328540585,0.44852392148105613,0.6991598625413703,0.7096740182140412
10,0.25182443164393514,0.23035787230446225,0.7927264774319325,0.8206877245896599,0.42738908985612345,0.46060742343984257,0.7048618998407905,0.7353109220205196
11,0.24711520112826973,0.23153562659309024,0.7970166637231394,0.8212623077892128,0.42568843769859394,0.4332739257272954,0.7051719825645949,0.7089423786999433
12,0.2408240303725661,0.2260613066809518,0.8036823211633475,0.8279387458954967,0.4280779004449571,0.46561882979833735,0.7099082415293448,0.740892153862639
13,0.23605236022888063,0.2671805432864598,0.8080694701617248,0.7930853192411834,0.43597382762119574,0.484344247155832,0.7217323427269736,0.7459571941580381
14,0.23734068022462312,0.23153905471165975,0.8081273685707026,0.824899530059429,0.430069953030877,0.4341108000072156,0.7151247690949772,0.7031896969797464
15,0.2272677781108864,0.2178072134653727,0.8147998819071813,0.8364948762641076,0.43195518706109937,0.43174029804114317,0.7184675409860578,0.7088941268819279
16,0.2231711024989585,0.22973155067080542,0.8185215100413611,0.8365848132788442,0.4367343386214552,0.49534540692640566,0.724940899386173,0.7668769181783565
17,0.21681746643387484,0.21407545918510074,0.8232940689650633,0.835804426215755,0.4436599463776017,0.42598163395291655,0.7341201125722978,0.7000461139542333
18,0.20868588306144148,0.2119902871903919,0.8310125244569966,0.8417948967177196,0.45285031796812153,0.44313693793897263,0.7444577228889552,0.7201071705416352
19,0.2066950500608685,0.1969986699876331,0.8320708108665442,0.8474638627855683,0.459617025005021,0.4727159957726358,0.7519968361144495,0.7522524904817326
20,0.20328658365295502,0.204971714814504,0.8344929813560241,0.8542242297184297,0.46451125768815177,0.5100288866688777,0.7566239378182119,0.7833457489225382
