epoch,train_loss,validation_loss,train_pixel_accuracy,val_pixel_accuracy,train_IoU,val_IoU,train_dice_score,val_dice_score
1,0.6185945856571198,0.3293470631946217,0.6943936062274987,0.8078504020785165,0.6004168130195527,0.8992750968389941,0.8163389041906479,0.9886785688336333
2,0.2999996793270111,0.4054890112443404,0.6594288088234276,0.47958072422930786,0.36177865571982676,0.15706021835995518,0.6360382230030529,0.37155505545279327
3,0.3170968651771545,0.31957100196318194,0.6451692934389504,0.8460059460298561,0.27549138790618893,0.7348531808894093,0.49057736759173887,0.9691376871772209
4,0.31046167492866517,0.4626944444396279,0.6136836641580342,0.37471883088279356,0.4101518554469359,0.027999960998313176,0.65549628049893,0.07809958617956318
5,0.30744424819946287,0.33823431080037897,0.6443605552868383,0.5171456513581598,0.5694695683282862,0.24612877681706039,0.765870869833495,0.4333879805291325
6,0.2915621161460876,0.30291452732953156,0.7093883145526716,0.542541174241068,0.6397749813026371,0.2442122373156856,0.8695356139814311,0.4313531115775019
7,0.27783005833625796,0.2930229793895375,0.5759024191143038,0.9378408738124536,0.20786493148469173,0.4460034709715446,0.4249896155887684,0.8003944530498952
8,0.2822138702869415,0.2974376841024919,0.731840316478551,0.7127259807822232,0.7459040340873653,0.6557629497162302,0.9950441895606388,0.88198329599235
9,0.2794011318683624,0.30334007198160345,0.6697764668753031,0.7339311764564124,0.2659448902148797,0.6491218072656966,0.4735202185654995,0.8753002278670121
10,0.27187587022781373,0.3142318779771978,0.6678800857606773,0.6801120145821373,0.31936119511559496,0.8313278664590228,0.5448309777502349,1.0022421693599486
11,0.26144872426986693,0.30919184468009253,0.7643358225047222,0.5840912886340692,0.3971770026112304,0.1914910503119031,0.6931918265474314,0.37069062711823314
12,0.2686578035354614,0.3388720588250594,0.788960949867844,0.5068495008680705,0.5430182302181943,0.21419182122761737,0.9507228589108278,0.45874745918467524
13,0.2681714642047882,0.29805563254789874,0.75256322538902,0.6160911277488542,0.4898445269023093,0.5652684143794443,0.8003218849894725,0.8692905721744915
14,0.2674608242511749,0.2871814641085538,0.6749124833040299,0.7998017676082718,0.31732189647122455,0.7748639873366446,0.5636811308100917,0.9084146100132063
15,0.267426643371582,0.3182567845691334,0.5496729407701652,-0.23877402882513385,0.270553735079861,0.147246152769367,0.4842364182661333,0.26482033641607683
16,0.27222634553909303,0.28937420519915497,0.7361706723599342,0.8812585524570831,0.6458086364609056,0.3328475012474067,0.9478644972430532,0.9467045206829348
17,0.27252639293670655,0.29407244378870184,0.555205545307682,0.8159380312319211,0.2989971482961485,0.8419568263653617,0.6091849762603013,0.9690316312134107
18,0.2606357097625732,0.3071024742993442,0.7852189177838885,0.6802420439543644,0.4837480432126624,0.48871693434927355,0.9015994422568318,0.9043254545121366
19,0.2765465235710144,0.2917174696922302,0.7545458632732149,0.8051203033070564,0.6050038509969803,0.7804531523371097,0.849389985912334,0.9118155031445419
20,0.27118051290512085,0.280095019123771,0.7814446594489477,0.7032111559466375,0.6455858760836777,0.7878633895857292,0.9374101834419168,0.9827313545018884
